half-seas-over.s.01,British informal for `intoxicated'
medawar.n.01,British immunologist (born in Brazil) who studied tissue transplants and discovered that the rejection of grafts was an immune response (1915-1987)
meir.n.01,Israeli statesman (born in Russia) (1898-1978)
meissner.n.02,German physicist (1882-1974)
meissner.n.01,German anatomist (1829-1905)
meitner.n.01,Swedish physicist (born in Austria) who worked in the field of radiochemistry with Otto Hahn and formulated the concept of nuclear fission with Otto Frisch (1878-1968)
melanchthon.n.01,German theologian and Luther's successor as leader of the Reformation in Germany (1497-1560)
melba.n.01,Australian operatic soprano (1861-1931)
melchior.n.01,United States operatic tenor (born in Denmark) noted for his Wagnerian roles (1890-1973)
mellon.n.01,United States financier and philanthropist (1855-1937)
melville.n.01,United States writer of novels and short stories (1819-1891)
mencken.n.01,United States journalist and literary critic (1880-1956)
mendel.n.01,Augustinian monk and botanist whose experiments in breeding garden peas led to his eventual recognition as founder of the science of genetics (1822-1884)
mendeleyev.n.01,Russian chemist who developed a periodic table of the chemical elements and predicted the discovery of several new elements (1834-1907)
mendelsohn.n.01,German architect who migrated to Palestine in 1937 (1887-1953)
mendelssohn.n.01,German musician and romantic composer of orchestral and choral works (1809-1847)
meniere.n.01,French otologist who first described a form of vertigo now known as Meniere's disease and identified the semicircular canals as the site of the lesion (1799-1862)
menninger.n.03,United States psychiatrist who with his sons founded a famous psychiatric clinic in Topeka (1862-1953)
menninger.n.02,United States psychiatrist and son of Charles Menninger (1893-1990)
menninger.n.01,United States psychiatrist and son of Charles Menninger (1899-1966)
menotti.n.01,United States composer (born in Italy) of operas (born in 1911)
menuhin.n.01,British violinist (born in the United States) who began his career as a child prodigy in the 1920s (1916-1999)
mercator.n.01,Flemish geographer who lived in Germany; he invented the Mercator projection of maps of the globe (1512-1594)
mercer.n.02,British maker of printed calico cloth who invented mercerizing (1791-1866)
merckx.n.01,Belgian racing cyclist who won the Tour de France five times (born in 1945)
mercouri.n.01,Greek film actress (1925-1994)
meredith.n.02,English novelist and poet (1828-1909)
meredith.n.01,United States civil rights leader whose college registration caused riots in traditionally segregated Mississippi (born in 1933)
mergenthaler.n.01,United States inventor (born in Germany) of the Linotype machine (1854-1899)
merman.n.01,United States singer who appeared in several musical comedies (1909-1984)
merton.n.02,United States sociologist (1910-2003)
merton.n.01,United States religious and writer (1915-1968)
mesmer.n.01,Austrian physician who tried to treat diseases with a form of hypnotism (1734-1815)
metchnikoff.n.01,Russian bacteriologist in France who formulated the theory of phagocytosis (1845-1916)
metternich.n.01,Austrian statesman (1773-1859)
meyerbeer.n.01,German composer of operas in a style that influenced Richard Wagner (1791-1864)
meyerhof.n.01,United States biochemist (born in Germany) who studied the metabolism of muscles (1884-1951)
michelangelo.n.01,Florentine sculptor and painter and architect; one of the outstanding figures of the Renaissance (1475-1564)
michelson.n.01,United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931)
michener.n.01,United States writer of historical novels (1907-1997)
middleton.n.01,English playwright and pamphleteer (1570-1627)
mies_van_der_rohe.n.01,United States architect (born in Germany) who built unornamented steel frame and glass skyscrapers (1886-1969)
milhaud.n.01,French composer of works that combine jazz and polytonality and Brazilian music (1892-1974)
mill.n.03,English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873)
mill.n.02,Scottish philosopher who expounded Bentham's utilitarianism; father of John Stuart Mill (1773-1836)
millais.n.01,Englishman and Pre-Raphaelite painter (1829-1896)
millay.n.01,United States poet (1892-1950)
miller.n.03,United States playwright (1915-2005)
miller.n.02,United States novelist whose novels were originally banned as pornographic (1891-1980)
miller.n.01,United States bandleader of a popular big band (1909-1944)
millet.n.02,French painter of rural scenes (1814-1875)
millikan.n.01,United States physicist who isolated the electron and measured its charge (1868-1953)
mills.n.01,United States architect who was the presidentially appointed architect of Washington D.C. (1781-1855)
milne.n.01,English writer of stories for children (1882-1956)
miltiades.n.01,Athenian general who defeated the Persians at Marathon (540-489)
milton.n.01,English poet; remembered primarily as the author of an epic poem describing humanity's fall from grace (1608-1674)
minkowski.n.01,German mathematician (born in Russia) who suggested the concept of four-dimensional space-time (1864-1909)
minuit.n.01,Dutch colonist who bought Manhattan from the Native Americans for the equivalent of $24 (1580-1638)
mirabeau.n.01,French revolutionary who was prominent in the early days of the French Revolution (1749-1791)
miro.n.02,Spanish surrealist painter (1893-1983)
mitchell.n.06,United States dancer who formed the first Black classical ballet company (born in 1934)
mitchell.n.05,United States labor leader; president of the United Mine Workers of America from 1898 to 1908 (1870-1919)
mitchell.n.04,United States writer noted for her novel about the South during the American Civil War (1900-1949)
mitchell.n.03,United States astronomer who studied sunspots and nebulae (1818-1889)
mitchell.n.02,United States aviator and general who was an early advocate of military air power (1879-1936)
mitchell.n.01,English aeronautical engineer (1895-1937)
mitchum.n.01,United States film actor (1917-1997)
mitford.n.02,English writer of comic novels (1904-1973)
mitford.n.01,United States writer (born in England) who wrote on American culture (1917-1996)
mitterrand.n.01,French statesman and president of France from 1981 to 1985 (1916-1996)
mobius.n.01,German mathematician responsible for the Mobius strip (1790-1868)
modigliani.n.01,Italian painter and sculptor (1884-1920)
mohammed_ali.n.01,Albanian soldier in the service of Turkey who was made viceroy of Egypt and took control away from the Ottoman Empire and established Egypt as a modern state (1769-1849)
mohorovicic.n.01,Yugoslav geophysicist for whom the Mohorovicic discontinuity was named (1857-1936)
moliere.n.01,French author of sophisticated comedies (1622-1673)
molnar.n.01,Hungarian playwright (1878-1952)
molotov.n.01,Soviet statesman (1890-1986)
mommsen.n.01,German historian noted for his history of Rome (1817-1903)
mondrian.n.01,Dutch painter whose work (intersecting lines at right angles and planes in primary colors) influenced the development of abstract art (1872-1944)
monet.n.01,French impressionist painter (1840-1926)
monk.n.02,United States jazz pianist who was one of the founders of the bebop style (1917-1982)
monnet.n.01,French economist who advocated a Common Market in Europe (1888-1979)
monod.n.01,French biochemist who (with Francois Jacob) explained how genes are activated and suggested the existence of messenger RNA (1910-1976)
monroe.n.01,United States film actress noted for sex appeal (1926-1962)
montagu.n.01,United States anthropologist (born in England) who popularized anthropology (1905-)
montaigne.n.01,French writer regarded as the originator of the modern essay (1533-1592)
montespan.n.01,French noblewoman who was mistress to Louis XIV until he became attracted to Madame de Maintenon (1641-1707)
montesquieu.n.01,French political philosopher who advocated the separation of executive and legislative and judicial powers (1689-1755)
montessori.n.01,Italian educator who developed a method of teaching mentally handicapped children and advocated a child-centered approach (1870-1952)
monteverdi.n.01,Italian composer (1567-1643)
montez.n.01,Irish dancer (1818-1861)
montgolfier.n.02,French inventor who (with his brother Jacques Etienne Montgolfier) pioneered hot-air ballooning (1740-1810)
montgolfier.n.01,French inventor who (with his brother Josef Michel Montgolfier) pioneered hot-air ballooning (1745-1799)
montgomery.n.02,English general during World War II; won victories over Rommel in North Africa and led British ground forces in the invasion of Normandy (1887-1976)
montgomery.n.01,Canadian novelist (1874-1942)
moody.n.02,United States evangelist (1837-1899)
moody.n.01,United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998)
moon.n.05,United States religious leader (born in Korea) who founded the Unification Church in 1954; was found guilty of conspiracy to evade taxes (born in 1920)
moore.n.06,British sculptor whose works are monumental organic forms (1898-1986)
moore.n.05,United States poet noted for irony and wit (1887-1872)
moore.n.04,Irish poet who wrote nostalgic and patriotic verse (1779-1852)
moore.n.03,English philosopher (1873-1958)
moore.n.02,English actor and comedian who appeared on television and in films (born in 1935)
moore.n.01,United States composer of works noted for their use of the American vernacular (1893-1969)
more.n.01,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
morgan.n.05,United States financier and philanthropist (1837-1913)
morgan.n.02,United States biologist who formulated the chromosome theory of heredity (1866-1945)
morgan.n.01,United States anthropologist who studied the Seneca (1818-1881)
morley.n.01,United States chemist and physicist who collaborated with Michelson in the Michelson-Morley experiment (1838-1923)
morris.n.04,United States statesman who led the committee that produced the final draft of the United States Constitution (1752-1816)
morris.n.02,English poet and craftsman (1834-1896)
morris.n.01,United States suffragist in Wyoming (1814-1902)
morrison.n.02,United States writer whose novels describe the lives of African-Americans (born in 1931)
morrison.n.01,United States rock singer (1943-1971)
morse.n.02,United States portrait painter who patented the telegraph and developed the Morse code (1791-1872)
mortimer.n.01,English nobleman who deposed Edward II and was executed by Edward III (1287-1330)
morton.n.01,United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)
mosander.n.01,Swedish chemist who discovered rare earth elements (1797-1858)
moses.n.02,United States painter of colorful and primitive rural scenes (1860-1961)
mossbauer.n.01,German physicist (born in 1929)
motherwell.n.01,United States abstract expressionist painter (1915-1991)
mott.n.01,United States feminist and suffragist (1793-1880)
moynihan.n.01,United States politician and educator (1927-2003)
mubarak.n.01,Egyptian statesman who became president in 1981 after Sadat was assassinated (born in 1929)
muir.n.01,United States naturalist (born in England) who advocated the creation of national parks (1838-1914)
muller.n.06,United States geneticist who studied the effects of X-rays on genes (1890-1967)
muller.n.05,British philologist (born in Germany) who specialized in Sanskrit (1823-1900)
muller.n.04,German mathematician and astronomer (1436-1476)
muller.n.03,German physiologist and anatomist (1801-1858)
muller.n.02,Swiss physicist who studied superconductivity (born in 1927)
muller.n.01,Swiss chemist who synthesized DDT and discovered its use as an insecticide (1899-1965)
munch.n.01,Norwegian painter (1863-1944)
munchhausen.n.01,German raconteur who told preposterous stories about his adventures as a soldier and hunter; his name is now associated with any telling of exaggerated stories or winning lies (1720-1797)
munro.n.01,British writer of short stories (1870-1916)
murdoch.n.02,British writer (born in Ireland) known primarily for her novels (1919-1999)
murdoch.n.01,United States publisher (born in Australia in 1931)
murray.n.02,Scottish philologist and the lexicographer who shaped the Oxford English Dictionary (1837-1915)
murray.n.01,British classical scholar (born in Australia) who advocated the League of Nations and the United Nations (1866-1957)
murillo.n.01,Spanish painter (1617-1682)
murrow.n.01,United States broadcast journalist remembered for his reports from London during World War II (1908-1965)
musial.n.01,United States baseball player (born in 1920)
musset.n.01,French poet and writer (1810-1857)
mussolini.n.01,Italian fascist dictator (1883-1945)
mussorgsky.n.01,Russian composer of operas and orchestral works (1839-1881)
muybridge.n.01,United States motion-picture pioneer remembered for his pictures of running horses taken with a series of still cameras (born in England) (1830-1904)
myrdal.n.01,Swedish economist (1898-1987)
nabokov.n.01,United States writer (born in Russia) (1899-1977)
naismith.n.01,United States educator (born in Canada) who invented the game of basketball (1861-1939)
nanak.n.01,Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism; he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)
nansen.n.01,Norwegian explorer of the Arctic and director of the League of Nations relief program for refugees of World War I (1861-1930)
napier.n.01,Scottish mathematician who invented logarithms; introduced the use of the decimal point in writing numbers (1550-1617)
napoleon.n.01,French general who became emperor of the French (1769-1821)
nash.n.01,United States writer noted for his droll epigrams (1902-1971)
nasser.n.01,Egyptian statesman who nationalized the Suez Canal (1918-1970)
nast.n.01,United States political cartoonist (1840-1902)
nation.n.03,United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)
natta.n.01,Italian chemist noted for work on polymers (1903-1979)
sanchez.n.01,Venezuelan master terrorist raised by a Marxist-Leninist father; trained and worked with many terrorist groups (born in 1949)
navratilova.n.01,United States tennis player (born in Czechoslovakia) who won nine Wimbledon women's singles championships (born in 1956)
nazimova.n.01,United States actress (born in Russia) (1879-1945)
nicholas_v.n.01,Italian pope from 1447 to 1455 who founded the Vatican library (1397-1455)
neel.n.01,French physicist noted for research on magnetism (born in 1904)
nehru.n.01,Indian statesman and leader with Gandhi in the struggle for home rule; was the first prime minister of the Republic of India from 1947 to 1964 (1889-1964)
nelson.n.01,English admiral who defeated the French fleets of Napoleon but was mortally wounded at Trafalgar (1758-1805)
nernst.n.01,German physicist and chemist who formulated the third law of thermodynamics (1864-1941)
nero.n.01,Roman Emperor notorious for his monstrous vice and fantastic luxury (was said to have started a fire that destroyed much of Rome in 64) but the Roman Empire remained prosperous during his rule (37-68)
neruda.n.01,Chilean poet (1904-1973)
nervi.n.01,Italian architect who pioneered in the use of reinforced concrete (1891-1979)
nerva.n.01,Emperor of Rome who introduced a degree of freedom after the repressive reign of Domitian; adopted Trajan as his successor (30-98)
nestorius.n.01,Syrian who was a Christian bishop and Patriarch of Constantinople in the early fifth century; one of the major heresies concerning the doctrine of the hypostasis of Christ was named after him (died in 451)
nevelson.n.01,United States sculptor (born in Russia) known for massive shapes of painted wood (1899-1988)
newcomb.n.01,United States astronomer (1835-1909)
newman.n.02,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890)
newman.n.01,United States film actor (born in 1925)
newton.n.01,English mathematician and physicist; remembered for developing the calculus and for his law of gravitation and his three laws of motion (1642-1727)
ney.n.01,French marshal in the Napoleonic Wars (1769-1815)
nicklaus.n.01,United States golfer considered by many to be the greatest golfer of all time (born in 1940)
nicolson.n.01,English diplomat and author (1886-1968)
niebuhr.n.02,German historian noted for his critical approach to sources and for his history of Rome (1776-1831)
niebuhr.n.01,United States Protestant theologian (1892-1971)
nielsen.n.01,Danish composer (1865-1931)
nightingale.n.02,English nurse remembered for her work during the Crimean War (1820-1910)
nijinsky.n.01,Russian dancer considered by many to be the greatest dancer of the 20th century (1890-1950)
nilsson.n.01,Swedish operatic soprano who played Wagnerian roles (born in 1918)
nimitz.n.01,United States admiral of the Pacific fleet during World War II who used aircraft carriers to destroy the Japanese navy (1885-1966)
nobel.n.01,Swedish chemist remembered for his invention of dynamite and for the bequest that created the Nobel prizes (1833-1896)
noether.n.01,German mathematician (1882-1935)
noguchi.n.02,United States bacteriologist (born in Japan) who discovered the cause of yellow fever and syphilis (1876-1928)
noguchi.n.01,United States sculptor (1904-1988)
norman.n.02,Australian golfer (born in 1955)
norman.n.01,United States operatic soprano (born in 1945)
norris.n.01,United States writer (1870-1902)
norrish.n.01,English chemist (1897-1978)
north.n.07,British statesman under George III whose policies led to rebellion in the American colonies (1732-1792)
northrop.n.01,United States biochemist (1891-1987)
nostradamus.n.01,French astrologer who wrote cryptic predictions whose interpretations are still being debated (1503-1566)
noyes.n.01,English poet (1880-1958)
nuffield.n.01,British industrialist who manufactured automobiles and created a philanthropic foundation (1877-1963)
nureyev.n.01,Russian dancer who was often the partner of Dame Margot Fonteyn and who defected to the United States in 1961 (born in 1938)
oakley.n.01,United States sharpshooter who was featured in Buffalo Bill's Wild West Show (1860-1926)
oates.n.02,United States writer (born in 1938)
oates.n.01,English conspirator who claimed that there was a Jesuit plot to assassinate Charles II (1649-1705)
o'brien.n.01,Irish writer (born in 1932)
o'casey.n.01,Irish playwright (1880-1964)
occam.n.01,English scholastic philosopher and assumed author of Occam's Razor (1285-1349)
ochoa.n.01,United States biochemist (born in Spain) who studied the biological synthesis of nucleic acids (1905-1993)
ochs.n.01,United States newspaper publisher (1858-1935)
o'connor.n.01,United States writer (1925-1964)
odets.n.01,United States playwright (1906-1963)
odoacer.n.01,Germanic barbarian leader who ended the Western Roman Empire in 476 and became the first barbarian ruler of Italy (434-493)
oersted.n.02,Danish physicist (1777-1851)
offenbach.n.01,French composer of many operettas and an opera (1819-1880)
o'flaherty.n.01,Irish writer of short stories (1896-1984)
ogden.n.01,English psychologist who collaborated with I. A. Richards in designing Basic English (1889-1957)
o'hara.n.01,United States writer (1905-1970)
ohm.n.02,German physicist who formulated Ohm's law (1787-1854)
o'keeffe.n.01,United States painter (1887-1986)
oken.n.01,German naturalist whose speculations that plants and animals are made up of tiny living `infusoria' led to the cell theory (1779-1851)
olaf_ii.n.01,King and patron saint of Norway (995-1030)
oldenburg.n.01,United States sculptor (born in Sweden); a leader of the pop art movement who was noted for giant sculptures of common objects (born in 1929)
oldfield.n.01,United States race driver who was the first to drive faster than a mile a minute (1878-1946)
oliver.n.01,United States jazz musician who influenced the style of Louis Armstrong (1885-1938)
olivier.n.01,English actor best know for his Shakespearean roles (1907-1989)
olmsted.n.01,United States landscape architect primarily responsible for the design of Central Park in New York City (1822-1903)
omar_khayyam.n.01,Persian poet and mathematician and astronomer whose poetry was popularized by Edward Fitzgerald's translation (1050-1123)
ondaatje.n.01,Canadian writer (born in Sri Lanka in 1943)
o'neill.n.01,United States playwright (1888-1953)
ono.n.01,United States musician (born in Japan) who married John Lennon and collaborated with him on recordings (born in 1933)
onsager.n.01,United States chemist (born in Norway) noted for his work in thermodynamics (1903-1976)
oort.n.01,Dutch astronomer who proved that the galaxy is rotating and proposed the existence of the Oort cloud (1900-1992)
opel.n.01,German industrialist who was the first in Germany to use an assembly line in manufacturing automobiles (1871-1948)
oppenheimer.n.01,United States physicist who directed the project at Los Alamos that developed the first atomic bomb (1904-1967)
orbison.n.01,United States composer and rockabilly tenor popular in the 1950s (1936-1988)
orczy.n.01,British writer (born in Hungary) (1865-1947)
orff.n.01,German musician who developed a widely used system for teaching music to children (1895-1982)
origen.n.01,Greek philosopher and theologian who reinterpreted Christian doctrine through the philosophy of Neoplatonism; his work was later condemned as unorthodox (185-254)
ormandy.n.01,United States conductor (born in Hungary) (1899-1985)
orozco.n.01,Mexican painter noted for his monumental murals (1883-1949)
orr.n.01,Canadian hockey player (born 1948)
ortega.n.01,Nicaraguan statesman (born in 1945)
ortega_y_gasset.n.01,Spanish philosopher who advocated leadership by an intellectual elite (1883-1955)
osborne.n.01,English playwright (1929-1994)
ostwald.n.01,German chemist (1853-1932)
oswald.n.01,United States assassin of President John F. Kennedy (1939-1963)
otis.n.01,United States inventor who manufactured the first elevator with a safety device (1811-1861)
o'toole.n.01,British actor (born in Ireland in 1932)
otto_i.n.01,King of the Germans and Holy Roman Emperor (912-973)
ovid.n.01,Roman poet remembered for his elegiac verses on love (43 BC - AD 17)
owen.n.02,English comparative anatomist and paleontologist who was an opponent of Darwinism (1804-1892)
owen.n.01,Welsh industrialist and social reformer who founded cooperative communities (1771-1858)
owens.n.01,United States athlete and Black American whose success in the 1936 Olympic Games in Berlin outraged Hitler (1913-1980)
ozawa.n.01,United States conductor (born in Japan in 1935)
paderewski.n.01,Polish pianist who in 1919 served as the first Prime Minister of independent Poland (1860-1941)
paganini.n.01,Italian violinist and composer of music for the violin (1782-1840)
page.n.03,United States diplomat and writer about the Old South (1853-1922)
page.n.02,English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
paget.n.01,English pathologist who discovered the cause of trichinosis (1814-1899)
pahlavi.n.01,Shah of Iran who was deposed in 1979 by Islamic fundamentalists (1919-1980)
paige.n.01,United States baseball player; a black pitcher noted for his longevity (1906-1982)
paine.n.02,American Revolutionary leader and pamphleteer (born in England) who supported the American colonist's fight for independence and supported the French Revolution (1737-1809)
paine.n.01,American Revolutionary leader and signer of the Declaration of Independence (1731-1814)
palestrina.n.01,Italian composer (1526-1594)
palgrave.n.01,English poet (1824-1897)
palmer.n.01,United States golfer (born in 1929)
panini.n.01,Indian grammarian whose grammatical rules for Sanskrit are the first known example of descriptive linguistics (circa 400 BC)
paracelsus.n.01,Swiss physician who introduced treatments of particular illnesses based on his observation and experience; he saw illness as having an external cause (rather than an imbalance of humors) and replaced traditional remedies with chemical remedies (1493-1541)
pareto.n.01,Italian sociologist and economist whose theories influenced the development of fascism in Italy (1848-1923)
park.n.04,Scottish explorer in Africa (1771-1806)
parker.n.02,United States writer noted for her sharp wit (1893-1967)
parker.n.01,United States saxophonist and leader of the bop style of jazz (1920-1955)
parkinson.n.02,British historian noted for ridicule of bureaucracies (1909-1993)
parkinson.n.01,English surgeon (1755-1824)
parks.n.01,United States civil rights leader who refused to give up her seat on a bus to a white man in Montgomery (Alabama) and so triggered the national Civil Rights movement (born in 1913)
parnell.n.01,Irish nationalist leader (1846-1891)
parr.n.01,Queen of England as the 6th wife of Henry VIII (1512-1548)
parrish.n.01,United States painter (1870-1966)
parsons.n.01,United States sociologist (1902-1979)
pascal.n.02,French mathematician and philosopher and Jansenist; invented an adding machine; contributed (with Fermat) to the theory of probability (1623-1662)
pasternak.n.01,Russian writer whose best known novel was banned by Soviet authorities but translated and published abroad (1890-1960)
pasteur.n.01,French chemist and biologist whose discovery that fermentation is caused by microorganisms resulted in the process of pasteurization (1822-1895)
paterson.n.01,American Revolutionary leader (born in Ireland) who was a member of the Constitutional Convention (1745-1806)
paton.n.01,South African writer (1903-1988)
patrick.n.01,Apostle and patron saint of Ireland; an English missionary to Ireland in the 5th century
paul_iii.n.01,Italian pope from 1534 to 1549 who excommunicated Henry VIII of England in 1538 and initiated the Council of Trent in 1545; was active in the Counter Reformation and promoted the Society of Jesus for this purpose (1468-1549)
paul_vi.n.01,Italian pope from 1963 to 1978 who eased restrictions on fasting and on interfaith marriages (1897-1978)
paul.n.01,United States feminist (1885-1977)
pauli.n.01,United States physicist (born in Austria) who proposed the exclusion principle (thus providing a theoretical basis for the periodic table) (1900-1958)
pauling.n.01,United States chemist who studied the nature of chemical bonding (1901-1994)
pavarotti.n.01,Italian tenor (born in 1935)
pavlov.n.01,Russian physiologist who observed conditioned salivary responses in dogs (1849-1936)
pavlova.n.01,Russian ballerina (1882-1931)
paxton.n.01,English architect (1801-1865)
peary.n.01,United States Arctic explorer and United States naval officer who has been regarded as the first man to reach the North Pole (1856-1920)
peel.n.01,British politician (1788-1850)
pei.n.01,United States architect (born in China in 1917)
peirce.n.02,United States philosopher and logician; pioneer of pragmatism (1839-1914)
peirce.n.01,United States mathematician and astronomer remembered for his studies of Uranus and Saturn and Neptune (1809-1880)
penn.n.01,Englishman and Quaker who founded the colony of Pennsylvania (1644-1718)
pepys.n.01,English diarist whose diary contained detailed descriptions of 17th century disasters in England (1633-1703)
percy.n.02,English soldier killed in a rebellion against Henry IV (1364-1403)
percy.n.01,United States writer whose novels explored human alienation (1916-1990)
pericles.n.01,Athenian statesman whose leadership contributed to Athens' political and cultural supremacy in Greece; he ordered the construction of the Parthenon (died in 429 BC)
peron.n.01,Argentine soldier who became president of Argentina (1895-1974)
perry.n.03,United States commodore who led the fleet that defeated the British on Lake Erie during the War of 1812; brother of Matthew Calbraith Perry (1785-1819)
perry.n.02,United States admiral who led a naval expedition to Japan and signed a treaty in 1854 opening up trade relations between United States and Japan; brother of Oliver Hazard Perry (1794-1858)
perry.n.01,United States philosopher (1876-1957)
pershing.n.01,United States general who commanded the American forces in Europe during World War I (1860-1948)
perutz.n.01,English biochemist (born in Austria); studied the molecular structure of blood (1914-2002)
petronius.n.01,Roman satirist (died in 66)
philip.n.01,Englishman and husband of Elizabeth II (born 1921)
photius.n.01,Patriarch of Constantinople and saint of the Greek Orthodox Church; was condemned by the Fourth Council of Constantinople in 869 but was reinstated by a later pope
piaf.n.01,French cabaret singer (1915-1963)
piaget.n.01,Swiss psychologist remembered for his studies of cognitive development in children (1896-1980)
pickett.n.01,American Confederate general known for leading a disastrous charge at Gettysburg (1825-1875)
pickford.n.01,United States film actress (born in Canada) who starred in silent films (1893-1979)
pincus.n.01,United States sexual physiologist whose hunch that progesterone could block ovulation led to the development of the oral contraceptive pill (1903-1967)
pindar.n.01,Greek lyric poet remembered for his odes (518?-438? BC)
pinter.n.01,English dramatist whose plays are characterized by silences and the use of inaction (born in 1930)
pirandello.n.01,Italian novelist and playwright (1867-1936)
piston.n.01,United States neoclassical composer (1894-1976)
pitman.n.01,English educator who invented a system of phonetic shorthand (1813-1897)
pitot.n.01,French physicist for whom the Pitot tube was named (1695-1771)
pitt.n.03,English statesman who brought the Seven Years' War to an end (1708-1778)
pitt.n.02,English statesman and son of Pitt the Elder (1759-1806)
pius_ii.n.01,Italian pope from 1458 to 1464 who is remembered for his unsuccessful attempt to lead a crusade against the Turks (1405-1464)
pius_v.n.01,Italian pope from 1566 to 1572 who led the reformation of the Roman Catholic Church; he excommunicated Elizabeth I (1504-1572)
pius_vi.n.01,Italian pope from 1775 to 1799 who served during the French Revolution; Napoleon attacked the Papal States and in 1797 Pius VI was taken to France where he died (1717-1799)
pius_vii.n.01,Italian pope from 1800 to 1823 who was humiliated by Napoleon and taken prisoner in 1809; he concluded a concordat with Napoleon and crowned him emperor of France; he returned to Rome in 1814 (1740-1823)
pius_ix.n.01,Italian pope from 1846 to 1878 who in 1854 declared the dogma of the Immaculate Conception of the Virgin Mary
pizarro.n.01,Spanish conquistador who conquered the Incas in what is now Peru and founded the city of Lima (1475-1541)
planck.n.01,German physicist whose explanation of blackbody radiation in the context of quantized energy emissions initiated quantum theory (1858-1947)
plath.n.01,United States writer and poet (1932-1963)
pliny.n.02,Roman author of an encyclopedic natural history; died while observing the eruption of Vesuvius (23-79)
pliny.n.01,Roman writer and nephew of Pliny the Elder; author of books of letters that commented on affairs of the day (62-113)
plotinus.n.01,Roman philosopher (born in Egypt) who was the leading representative of Neoplatonism (205-270)
plutarch.n.01,Greek biographer who wrote Parallel Lives (46?-120 AD)
poe.n.01,United States writer and poet (1809-1849)
poitier.n.01,United States film actor and director (born in 1927)
pollack.n.01,United States filmmaker (born in 1934)
pollock.n.01,United States artist famous for painting with a drip technique; a leader of abstract expressionism in America (1912-1956)
polo.n.01,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
polycarp.n.01,Greek bishop of Smyrna who refused to recant his Christian faith and was burned to death by pagans (circa 69-155)
pompadour.n.01,"French noblewoman who was the lover of Louis XV, whose policies she influenced (1721-1764)"
pompey.n.01,Roman general and statesman who quarrelled with Caesar and fled to Egypt where he was murdered (106-48 BC)
ponce_de_leon.n.01,Spanish explorer who accompanied Columbus on his second trip in 1493; in 1513 he discovered Florida while searching for the legendary Fountain of Youth (1460-1521)
pons.n.01,United States coloratura soprano (born in France) (1904-1976)
ponselle.n.01,United States soprano (1897-1981)
pope.n.02,English poet and satirist (1688-1744)
popper.n.01,"British philosopher (born in Austria) who argued that scientific theories can never be proved to be true, but are tested by attempts to falsify them (1902-1994)"
porter.n.05,United States writer of short stories whose pen name was O. Henry (1862-1910)
porter.n.04,United States composer and lyricist of musical comedies (1891-1946)
porter.n.03,United States writer of novels and short stories (1890-1980)
post.n.07,United States manufacturer of breakfast cereals and Postum (1854-1914)
post.n.06,United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)
post.n.05,United States aviator who in 1933 made the first solo flight around the world (1899-1935)
poulenc.n.01,French pianist and composer (1899-1963)
pound.n.11,United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)
poussin.n.01,French painter in the classical style (1594-1665)
powell.n.02,English physicist who discovered the pion (the first known meson) which is a subatomic particle involved in holding the nucleus together (1903-1969)
powell.n.01,United States general who was the first African American to serve as chief of staff; later served as Secretary of State under President George W. Bush (born 1937)
powhatan.n.01,Indian chief and founder of the Powhatan confederacy of tribes in eastern Virginia; father of Pocahontas (1550?-1618)
powys.n.03,British writer of novels about nature; one of three literary brothers (1872-1963)
powys.n.02,British writer of allegorical novels; one of three literary brothers (1875-1953)
powys.n.01,British writer of essays; one of three literary brothers (1884-1939)
presley.n.01,United States rock singer whose many hit records and flamboyant style greatly influenced American popular music (1935-1977)
price.n.07,United States operatic soprano (born 1927)
priestley.n.01,English chemist who isolated many gases and discovered oxygen (independently of Scheele) (1733-1804)
prokhorov.n.01,Russian physicist whose research into ways of moving electrons around atoms led to the development of masers and lasers for producing high-intensity radiation (1916-2002)
prokofiev.n.01,Russian composer of ballets and symphonies and operas (1891-1953)
proudhon.n.01,French socialist who argued that property is theft (1809-1865)
proust.n.01,French novelist (1871-1922)
ptolemy.n.01,Alexandrian astronomer (of the 2nd century) who proposed a geocentric system of astronomy that was undisputed until the late Renaissance
puccini.n.01,Italian operatic composer noted for the dramatic realism of his operas (1858-1924)
pugin.n.01,English architect who played a prominent role in the 19th century revival of Gothic architecture (1812-1852)
pulitzer.n.01,United States newspaper publisher (born in Hungary) who established the Pulitzer prizes (1847-1911)
