half-seas-over.s.01,British informal for `intoxicated'
wryneck.n.02,Old World woodpecker with a peculiar habit of twisting the neck
bluewing.n.01,American teal
sheldrake.n.02,Old World gooselike duck slightly larger than a mallard with variegated mostly black-and-white plumage and a red bill
barrow's_goldeneye.n.01,North American goldeneye diving duck
canvasback.n.01,North American wild duck valued for sport and food
redhead.n.02,North American diving duck with a grey-and-black body and reddish-brown head
blue_goose.n.01,North American wild goose having dark plumage in summer but white in winter
barnacle_goose.n.01,European goose smaller than the brant; breeds in the far north
whistling_swan.n.01,North American subspecies of tundra swan having a soft whistling note
bewick's_swan.n.01,Eurasian subspecies of tundra swan; smaller than the whooper
crab-eating_opossum.n.01,South American opossum
potoroo.n.01,Australian rat kangaroos
thylacinus.n.01,Tasmanian wolf
sarcophilus.n.01,Tasmanian devil
short-tailed_shrew.n.01,North American shrew with tail less than half its body length
physalia.n.01,Portuguese man-of-war
cestum.n.01,Venus's girdle
crassostrea.n.01,Virginia oysters
callinectes.n.01,New World blue crabs
porcellio.n.01,Old World genus of isopod crustaceans
black_stork.n.01,Old World stork that is glossy black above and white below
xenorhyncus.n.01,East Indian and Australian storks
sacred_ibis.n.01,African ibis venerated by ancient Egyptians
little_egret.n.01,Old World egret
nycticorax.n.01,Old World night herons
nyctanassa.n.01,American night herons
yellow-crowned_night_heron.n.01,North American night heron
crested_cariama.n.01,Brazilian Cariama; sole representative of the genus Cariama
chunga.n.01,Argentinian Cariama
spotted_crake.n.01,Eurasian rail of swamps and marshes
florida_gallinule.n.01,North American dark bluish-grey gallinule
porphyrio.n.01,Old World purple gallinules
porphyrula.n.01,American purple gallinules
american_gallinule.n.01,American purple gallinule
choriotis.n.01,Australian bustard
killdeer.n.01,American plover of inland waters and fields having a distinctive cry
vanellus.n.01,Eurasian lapwings
pectoral_sandpiper.n.01,American sandpiper that inflates its chest when courting
curlew_sandpiper.n.01,Old World sandpiper with a curved bill like a curlew
philohela.n.01,American woodcocks
snipe.n.01,Old or New World straight-billed game bird of the sandpiper family; of marshy areas; similar to the woodcocks
wilson's_snipe.n.01,American snipe
great_snipe.n.01,Old World snipe larger and darker than the whole snipe
eskimo_curlew.n.01,New World curlew that breeds in northern North America
hudsonian_godwit.n.01,New World godwit
glareolidae.n.01,Old World shorebirds: pratincoles and coursers
pratincole.n.01,Old World shorebird with long pointed wings and short legs; closely related to the coursers
crocodile_bird.n.01,African courser that feeds on insect parasites on crocodiles
pied-billed_grebe.n.01,American grebe having a black-banded whitish bill
english_toy_spaniel.n.01,British breed having a long silky coat and rounded head with a short upturned muzzle
black-and-tan_coonhound.n.01,American breed of large powerful hound dogs used for hunting raccoons and other game
staffordshire_bullterrier.n.01,English breed of strong stocky dog having a broad skull and smooth coat
american_staffordshire_terrier.n.01,American breed of muscular terriers with a short close-lying stiff coat
norfolk_terrier.n.01,English breed of small terrier with a straight wiry grizzled coat and dropped ears
norwich_terrier.n.01,English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears
silky_terrier.n.01,Australian breed of toy dogs having a silky blue coat
skye_terrier.n.01,Scottish breed of terrier with shaggy hair and long low body with short legs; native to the Isle of Skye
soft-coated_wheaten_terrier.n.01,Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle
chesapeake_bay_retriever.n.01,American breed having a short thick oily coat ranging from brown to light tan
vizsla.n.01,Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat
komondor.n.01,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog
rottweiler.n.01,German breed of large vigorous short-haired cattle dogs
affenpinscher.n.01,European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
samoyed.n.03,Siberian breed of white or cream-colored dog of the spitz family
jackal.n.01,Old World nocturnal canine mammal closely related to the dog; smaller than a wolf; sometimes hunts in a pack but usually singly or as a member of a pair
cuon.n.01,Asiatic wild dog
lycaeon.n.01,African hunting dog
spotted_hyena.n.01,African hyena noted for its distinctive howl
red_fox.n.02,New World fox; often considered the same species as the Old World fox
blue_point_siamese.n.01,Siamese cat having a bluish cream-colored body and dark grey points
smiledon_californicus.n.01,North American sabertooth; culmination of sabertooth development
false_saber-toothed_tiger.n.01,North American cat of the Miocene and Pliocene; much earlier and less specialized than members of the genus Smiledon
euarctos.n.01,American black bears; in some classifications not a separate genus from Ursus
selenarctos.n.01,Asiatic black bears; in some classifications not a separate genus from Ursus
nyctimene.n.01,East Indian fruit bats
phyllostomidae.n.01,New World leaf-nosed bats
spearnose_bat.n.01,New World bat with a pointed nose leaf; found from southern United States to Paraguay
rhinolophidae.n.01,Old World leaf-nosed bats
hipposideridae.n.01,Old World leafnose bats
megadermatidae.n.01,Old World false vampire bats
red_bat.n.01,North American bat of a brick or rusty red color with hairs tipped with white
leptinotarsa.n.01,Colorado potato beetles
bee_beetle.n.01,European beetle; infests beehives
dorbeetle.n.01,Old World dung beetle that flies with a droning sound
cuterebridae.n.01,New World botflies
ceratitis.n.01,Mediterranean fruit flies
haematobia.n.01,European genus of bloodsucking flies
giant_hornet.n.01,European hornet introduced into the United States
bald-faced_hornet.n.01,North American hornet
polyergus.n.01,Amazon ants
mastotermes_darwiniensis.n.01,Australian termite; sole living species of Mastotermes; called a living fossil; apparent missing link between cockroaches and termites
migratory_locust.n.01,Old World locust that travels in vast swarms stripping large areas of vegetation
melanoplus.n.01,New World migratory locusts and common American grasshoppers
cochineal_insect.n.01,Mexican red scale insect that feeds on cacti; the source of a red dye
comstock_mealybug.n.01,Asiatic insect introduced accidentally into United States; pest on citrus and apple trees
seventeen-year_locust.n.01,North American cicada; appears in great numbers at infrequent intervals because the nymphs take 13 to 17 years to mature
meadow_spittlebug.n.01,North American insect that severely damages grasses
pine_spittlebug.n.01,North American insect that attacks pines
painted_beauty.n.01,American butterfly having dark brown wings with white and golden orange spots
white_admiral.n.02,Eurasian butterfly with brown wings and white markings
banded_purple.n.01,North American butterfly with blue-black wings crossed by a broad white band
peacock.n.01,European butterfly having reddish-brown wings each marked with a purple eyespot
large_white.n.01,Old World form of cabbage butterfly
orange_tortrix.n.01,California moth whose larvae live in especially oranges
gypsy_moth.n.01,European moth introduced into North America; a serious pest of shade trees
alsophila_pometaria.n.01,North American moth with grey-winged males and wingless females; larvae are fall cankerworms
cutworm.n.01,North American moth whose larvae feed on young plant stems cutting them off at the ground
antler_moth.n.01,European moth with white antler-like markings on the forewings; the larvae damage pastures and grasslands
death's-head_moth.n.01,European hawkmoth with markings on the back resembling a human skull
bombycidae.n.01,Chinese silkworm moth
hyalophora.n.01,American silkworm moth
cecropia.n.02,North American silkworm moth; larvae feed on the leaves of forest trees
oryctolagus.n.01,Old World rabbits
sylvilagus.n.01,North American rabbits
little_chief_hare.n.01,North American pika
micromyx.n.01,Old World harvest mice
apodemus.n.01,Old World field mice
reithrodontomys.n.01,New World harvest mice
peromyscus.n.01,New World wood mice
white-footed_mouse.n.01,American woodland mouse with white feet and underparts
sigmodon.n.01,American cotton rats
genus_phenacomys.n.01,North American voles
grey_lemming.n.01,Old World lemming
pied_lemming.n.01,North American lemming having a white winter coat and some claws much enlarged
hystricidae.n.01,Old World porcupines
erethizontidae.n.01,New World arboreal porcupines
dipodidae.n.01,Old World jerboas
geomyidae.n.01,North American pocket gophers
tamiasciurus.n.01,American red squirrels
glaucomys.n.01,New World flying squirrels
american_flying_squirrel.n.01,New World flying squirrels
petauristidae.n.01,Old World flying squirrels
taguan.n.01,East Indian flying squirrel
aperea.n.01,South American cavy; possibly ancestral to the domestic guinea pig
mole_rat.n.01,African rodent resembling a mole in habits and appearance
mesohippus.n.01,North American three-toed Oligocene animal; probably not directly ancestral to modern horses
protohippus.n.01,Pliocene horse approaching donkeys in size
tarpan.n.01,European wild horse extinct since the early 20th century
warrigal.n.01,Australian wild horse
shire.n.02,British breed of large heavy draft horse
moke.n.01,British informal for donkey
onager.n.02,Asiatic wild ass
chigetai.n.01,Mongolian wild ass
ceratotherium.n.01,African genus
black_rhinoceros.n.01,African rhino; in danger of extinction
wild_boar.n.01,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
babirusa.n.01,Indonesian wild pig with enormous curved canine teeth
warthog.n.01,African wild swine with warty protuberances on the face and large protruding tusks
santa_gertrudis.n.01,Brahman and shorthorn crossbreed of red cattle; hardy in hot regions
durham.n.02,English breed of short-horned cattle
synercus.n.01,Cape buffalo
wisent.n.01,European bison having a smaller and higher head than the North American bison
hampshire.n.02,British breed of hornless dark-faced domestic sheep
marco_polo_sheep.n.01,Asiatic wild sheep with exceptionally large horns; sometimes considered a variety of the argali (or Ovis ammon)
cashmere_goat.n.01,Himalayan goat having a silky undercoat highly prized as cashmere wool
connochaetes.n.01,African antelopes: gnus
alcelaphus.n.01,African antelopes: hartebeests
damaliscus.n.01,African antelopes: sassabies
aepyceros.n.01,African antelopes: impalas
