Root,Root_Definition,Synset,Synset_Definition,Language,Form,Database
sāg-,to seek,track,a pair of parallel rails providing a runway for wheels,English,n,Wordnet
sāg-,to seek,track,a groove on a phonograph recording,English,n,Wordnet
sāg-,to seek,track,(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data,English,n,Wordnet
sāg-,to seek,track,an endless metal belt on which tracked vehicles move over the ground,English,n,Wordnet
sāg-,to seek,trail,a path or track roughly blazed through wild or hilly country,English,n,Wordnet
sāg-,to seek,trail,a track or mark left by something that has passed,English,n,Wordnet
sāg-,to seek,trail,drag loosely along a surface; allow to sweep the ground,English,v,Wordnet
sāg-,to seek,trail,hang down so as to drag along the ground,English,v,Wordnet
sāg-,to seek,track,make tracks upon,English,v,Wordnet
sāg-,to seek,trail,"move, proceed, or walk draggingly or slowly",English,v,Wordnet
sāg-,to seek,track,carry on the feet and deposit,English,v,Wordnet
sāg-,to seek,track,observe or plot the moving path of something,English,v,Wordnet
*(s)neh₂-{1},swim,bathe,the act of swimming,English,n,Wordnet
*(s)neh₂-{1},swim,bathe,cleanse the entire body,English,v,Wordnet
*(s)neh₂-{1},swim,bathe,clean one's body by immersion into water,English,v,Wordnet
*(s)neh₂-{1},swim,bathe,suffuse with or as if with light,English,v,Wordnet
*(s)neh₂-{1},swim,swim,move as if gliding through water,English,v,Wordnet
*(s)neh₂-{1},swim,swim,travel through water,English,v,Wordnet
*(s)neh₂-{1},swim,swim,be covered with or submerged in a liquid,English,v,Wordnet
*(s)neh₂-{1},swim,swim,be dizzy or giddy,English,v,Wordnet
2. trenk-,to wash,bathe,the act of swimming,English,n,Wordnet
2. trenk-,to wash,bathe,cleanse the entire body,English,v,Wordnet
2. trenk-,to wash,cleanse,"clean one's body or parts thereof, as by washing",English,v,Wordnet
2. trenk-,to wash,bathe,clean one's body by immersion into water,English,v,Wordnet
2. trenk-,to wash,cleanse,"purge of an ideology, bad thoughts, or sins",English,v,Wordnet
2. trenk-,to wash,bathe,suffuse with or as if with light,English,v,Wordnet
2.*h₁reh₁-{1},rowing,rowing,the act of rowing as a sport,English,n,Wordnet
?*pert-{1},fight,fight,a boxing or wrestling match,English,n,Wordnet
?*pert-{1},fight,fight,the act of fighting; any contest or struggle,English,n,Wordnet
?*pert-{1},fight,fight,an intense verbal dispute,English,n,Wordnet
?*pert-{1},fight,fight,fight against or resist strongly,English,v,Wordnet
?*pert-{1},fight,fight,make a strenuous or labored effort,English,v,Wordnet
nēik- : nīk- : nik-,to rail,fight,a boxing or wrestling match,English,n,Wordnet
nēik- : nīk- : nik-,to rail,assault,a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped,English,n,Wordnet
nēik- : nīk- : nik-,to rail,assault,close fighting during the culmination of a military attack,English,n,Wordnet
nēik- : nīk- : nik-,to rail,fight,the act of fighting; any contest or struggle,English,n,Wordnet
nēik- : nīk- : nik-,to rail,assault,thoroughbred that won the triple crown in 1946,English,n,Wordnet
nēik- : nīk- : nik-,to rail,fight,an intense verbal dispute,English,n,Wordnet
nēik- : nīk- : nik-,to rail,fight,fight against or resist strongly,English,v,Wordnet
nēik- : nīk- : nik-,to rail,fight,make a strenuous or labored effort,English,v,Wordnet
1. (s)per-,spar,spar,making the motions of attack and defense with the fists and arms; a part of training for a boxer,English,n,Wordnet
1. (s)per-,spar,pole,a long (usually round) rod of wood or metal or plastic,English,n,Wordnet
1. (s)per-,spar,pole,one of the two ends of a magnet where the magnetism seems to be concentrated,English,n,Wordnet
1. (s)per-,spar,pole,a long fiberglass sports implement used for pole vaulting,English,n,Wordnet
1. (s)per-,spar,rafter,one of several parallel sloping beams that support a roof,English,n,Wordnet
1. (s)per-,spar,spar,a stout rounded pole of wood or metal used to support rigging,English,n,Wordnet
1. (s)per-,spar,pole,one of two divergent or mutually exclusive opinions,English,n,Wordnet
1. (s)per-,spar,pole,one of two antipodal points where the Earth's axis of rotation intersects the Earth's surface,English,n,Wordnet
1. (s)per-,spar,pole,one of two points of intersection of the Earth's axis and the celestial sphere,English,n,Wordnet
1. (s)per-,spar,pole,a native or inhabitant of Poland,English,n,Wordnet
1. (s)per-,spar,spar,any of various nonmetallic minerals (calcite or feldspar) that are light in color and transparent or translucent and cleavable,English,n,Wordnet
1. (s)per-,spar,pole,deoxidize molten metals by stirring them with a wooden pole,English,v,Wordnet
1. (s)per-,spar,spar,fight verbally,English,v,Wordnet
1. (s)per-,spar,pole,support on poles,English,v,Wordnet
1. (s)per-,spar,spar,box lightly,English,v,Wordnet
1. (s)per-,spar,spar,fight with spurs,English,v,Wordnet
1. (s)per-,spar,rafter,provide (a ceiling) with rafters,English,v,Wordnet
1. (s)per-,spar,spar,furnish with spars,English,v,Wordnet
4. del-,dribble,dribble,the propulsion of a ball by repeated taps or kicks,English,n,Wordnet
4. del-,dribble,dribble,"propel,",English,v,Wordnet
4. del-,dribble,dribble,let or cause to fall in drops,English,v,Wordnet
1. leg-,to leak,dribble,the propulsion of a ball by repeated taps or kicks,English,n,Wordnet
1. leg-,to leak,drip,(architecture) a projection from a cornice or sill designed to protect the area below from rainwater (as over a window or doorway),English,n,Wordnet
1. leg-,to leak,drip,the sound of a liquid falling drop by drop,English,n,Wordnet
1. leg-,to leak,drip,flowing in drops; the formation and falling of drops of liquid,English,n,Wordnet
1. leg-,to leak,dribble,"propel,",English,v,Wordnet
1. leg-,to leak,dribble,let or cause to fall in drops,English,v,Wordnet
1. leg-,to leak,drip,fall in drops,English,v,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,any of various card games based on whist for four players,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,"long thick piece of wood or metal or concrete, etc., used in construction",English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,the broad side of a ship,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,an upper deck where a ship is steered and the captain stands,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,the link between two lenses; rests on the nose,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,a denture anchored to teeth on either side of missing teeth,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,a wooden support that holds the strings up,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,(nautical) breadth amidships,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,the hard ridge that forms the upper part of the nose,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,a column of light (as from a beacon),English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,a group of nearly parallel lines of electromagnetic radiation,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,something resembling a bridge in form or function,English,n,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,smile radiantly; express joy through one's facial expression,English,v,Wordnet
"2. bʰrū-, bʰrēu-",bridge,beam,express with a beaming face or smile,English,v,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,make a bridge across,English,v,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,cross over on a bridge,English,v,Wordnet
"2. bʰrū-, bʰrēu-",bridge,bridge,connect or reduce the distance between,English,v,Wordnet
kentʰ(o)-,cloth,rag,a boisterous practical joke (especially by college students),English,n,Wordnet
kentʰ(o)-,cloth,rag,a small piece of cloth or paper,English,n,Wordnet
kentʰ(o)-,cloth,rag,a week at British universities during which side-shows and processions of floats are organized to raise money for charities,English,n,Wordnet
kentʰ(o)-,cloth,rag,break into lumps before sorting,English,v,Wordnet
kentʰ(o)-,cloth,rag,play in ragtime,English,v,Wordnet
1.*dei̯k̑-,indicate,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
1.*dei̯k̑-,indicate,show,a social event involving a public performance or entertainment,English,n,Wordnet
1.*dei̯k̑-,indicate,say,indicate,English,v,Wordnet
1.*dei̯k̑-,indicate,show,"give evidence of, as of records",English,v,Wordnet
1.*dei̯k̑-,indicate,indicate,"indicate a place, direction, person, or thing; either spatially or figuratively",English,v,Wordnet
1.*dei̯k̑-,indicate,indicate,to state or express briefly,English,v,Wordnet
1.*dei̯k̑-,indicate,indicate,suggest the necessity of an intervention; in medicine,English,v,Wordnet
1.*dei̯k̑-,indicate,show,finish third or better in a horse or dog race,English,v,Wordnet
1.*dei̯k̑-,indicate,show,make visible or noticeable,English,v,Wordnet
1.*dei̯k̑-,indicate,show,be or become visible or noticeable,English,v,Wordnet
1.*dei̯k̑-,indicate,show,give an exhibition of to an interested audience,English,v,Wordnet
?*dek(ʷ)s-{1},show,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
?*dek(ʷ)s-{1},show,show,a social event involving a public performance or entertainment,English,n,Wordnet
?*dek(ʷ)s-{1},show,show,"give evidence of, as of records",English,v,Wordnet
?*dek(ʷ)s-{1},show,show,finish third or better in a horse or dog race,English,v,Wordnet
?*dek(ʷ)s-{1},show,show,make visible or noticeable,English,v,Wordnet
?*dek(ʷ)s-{1},show,show,be or become visible or noticeable,English,v,Wordnet
?*dek(ʷ)s-{1},show,show,give an exhibition of to an interested audience,English,v,Wordnet
deiḱ-,to teach,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
deiḱ-,to teach,show,a social event involving a public performance or entertainment,English,n,Wordnet
deiḱ-,to teach,show,"give evidence of, as of records",English,v,Wordnet
deiḱ-,to teach,show,finish third or better in a horse or dog race,English,v,Wordnet
deiḱ-,to teach,show,make visible or noticeable,English,v,Wordnet
deiḱ-,to teach,show,be or become visible or noticeable,English,v,Wordnet
deiḱ-,to teach,show,give an exhibition of to an interested audience,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,a social event involving a public performance or entertainment,English,n,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,the seat within a bishop's diocese where his cathedral is located,English,n,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,be careful or certain to do something; make certain of something,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,deem to be,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,deliberate or decide,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,"give evidence of, as of records",English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,finish third or better in a horse or dog race,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,match or meet,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,receive as a specified guest,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,accompany or escort,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,perceive by sight or have the power to perceive by sight,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,"see and understand, have a good eye",English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,make visible or noticeable,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,be or become visible or noticeable,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,show,give an exhibition of to an interested audience,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,observe as if with an eye,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,go to see for professional or business reasons,English,v,Wordnet
dʰei̯ə- : dʰi̯ā- : dʰī-,to look,see,go to see for a social visit,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,a social event involving a public performance or entertainment,English,n,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,come into sight or view,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,"come into being or existence, or appear on the scene",English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,be issued or published,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,"give evidence of, as of records",English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,finish third or better in a horse or dog race,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,"appear as a character on stage or appear in a play, etc.",English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,"seem to be true, probable, or apparent",English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,make visible or noticeable,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,be or become visible or noticeable,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,show,give an exhibition of to an interested audience,English,v,Wordnet
"kʷeḱ-, kʷōḱ-, kʷeḱ-s-",to see,appear,"present oneself formally, as before a (judicial) authority",English,v,Wordnet
"stilp-, stilb-",to shine; to look,show,the act of publicly exhibiting or entertaining,English,n,Wordnet
"stilp-, stilb-",to shine; to look,show,a social event involving a public performance or entertainment,English,n,Wordnet
"stilp-, stilb-",to shine; to look,show,"give evidence of, as of records",English,v,Wordnet
"stilp-, stilb-",to shine; to look,show,finish third or better in a horse or dog race,English,v,Wordnet
"stilp-, stilb-",to shine; to look,show,make visible or noticeable,English,v,Wordnet
"stilp-, stilb-",to shine; to look,show,be or become visible or noticeable,English,v,Wordnet
"stilp-, stilb-",to shine; to look,show,give an exhibition of to an interested audience,English,v,Wordnet
ēl-,strip,strip,a form of erotic entertainment in which a dancer gradually undresses to music,English,n,Wordnet
ēl-,strip,line,acting in conformity,English,n,Wordnet
ēl-,strip,line,something (as a cord or rope) that is long and thin and flexible,English,n,Wordnet
ēl-,strip,line,the road consisting of railroad track and roadbed,English,n,Wordnet
ēl-,strip,line,a commercial organization serving as a common carrier,English,n,Wordnet
ēl-,strip,line,a particular kind of product or merchandise,English,n,Wordnet
ēl-,strip,strip,artifact consisting of a narrow flat piece of material,English,n,Wordnet
ēl-,strip,strip,thin piece of wood or metal,English,n,Wordnet
ēl-,strip,line,a conceptual separation or distinction,English,n,Wordnet
ēl-,strip,line,a mark that is long relative to its width,English,n,Wordnet
ēl-,strip,line,text consisting of a row of words written across a page or computer screen,English,n,Wordnet
ēl-,strip,line,persuasive but insincere talk that is usually intended to deceive or impress,English,n,Wordnet
ēl-,strip,line,a formation of people or things one behind another,English,n,Wordnet
ēl-,strip,line,a formation of people or things one beside another,English,n,Wordnet
ēl-,strip,line,a spatial location defined by a real or imaginary unidimensional extent,English,n,Wordnet
ēl-,strip,line,in games or sports; a mark indicating positions or bounds of the playing area,English,n,Wordnet
ēl-,strip,line,a fortified position (especially one marking the most forward position of troops),English,n,Wordnet
ēl-,strip,strip,a relatively long narrow piece of something,English,n,Wordnet
ēl-,strip,line,a single frequency (or very narrow band) of radiation in a spectrum,English,n,Wordnet
ēl-,strip,line,a length (straight or curved) without breadth or thickness; the trace of a moving point,English,n,Wordnet
ēl-,strip,strip,remove (someone's or one's own) clothes,English,v,Wordnet
ēl-,strip,strip,draw the last milk (of cows),English,v,Wordnet
ēl-,strip,strip,take off or remove,English,v,Wordnet
ēl-,strip,strip,remove a constituent from a liquid,English,v,Wordnet
ēl-,strip,strip,remove the thread (of screws),English,v,Wordnet
ēl-,strip,line,reinforce with fabric,English,v,Wordnet
ēl-,strip,line,fill plentifully,English,v,Wordnet
ēl-,strip,strip,remove the surface from,English,v,Wordnet
ēl-,strip,strip,strip the cured leaves from,English,v,Wordnet
ēl-,strip,line,cover the interior of,English,v,Wordnet
ēl-,strip,line,mark with lines,English,v,Wordnet
ēl-,strip,unclothe,strip,English,v,Wordnet
ēl-,strip,line,be in line with; form a line along,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,a form of erotic entertainment in which a dancer gradually undresses to music,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,acting in conformity,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,something (as a cord or rope) that is long and thin and flexible,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,the road consisting of railroad track and roadbed,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a commercial organization serving as a common carrier,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a particular kind of product or merchandise,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,artifact consisting of a narrow flat piece of material,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,thin piece of wood or metal,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,stripe,a narrow marking of a different color or texture from the background,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,streak,a distinctive characteristic,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a conceptual separation or distinction,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,stripe,a kind or category,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a mark that is long relative to its width,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,text consisting of a row of words written across a page or computer screen,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,persuasive but insincere talk that is usually intended to deceive or impress,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,stripe,"a piece of braid, usually on the sleeve, indicating military rank or length of service",English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,streak,a sudden flash (as of lightning),English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a formation of people or things one behind another,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a formation of people or things one beside another,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,streak,an unbroken series of events,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a spatial location defined by a real or imaginary unidimensional extent,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,in games or sports; a mark indicating positions or bounds of the playing area,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a fortified position (especially one marking the most forward position of troops),English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,a relatively long narrow piece of something,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a single frequency (or very narrow band) of radiation in a spectrum,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,a length (straight or curved) without breadth or thickness; the trace of a moving point,English,n,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,remove (someone's or one's own) clothes,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,draw the last milk (of cows),English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,take off or remove,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,remove a constituent from a liquid,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,remove the thread (of screws),English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,reinforce with fabric,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,fill plentifully,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,remove the surface from,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,strip,strip the cured leaves from,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,cover the interior of,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,stripe,mark with stripes,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,mark with lines,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,streak,run naked in a public place,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,streak,move quickly in a straight line,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,unclothe,strip,English,v,Wordnet
"4. ster-, also sterə- : strē-, strei-, streu-",streak,line,be in line with; form a line along,English,v,Wordnet
?2.*nebʰ-{1},burst,burst,a sudden flurry of activity (often for no obvious reason),English,n,Wordnet
?2.*nebʰ-{1},burst,burst,"come open suddenly and violently, as if from internal pressure",English,v,Wordnet
?2.*nebʰ-{1},burst,burst,break open or apart suddenly and forcefully,English,v,Wordnet
?2.*nebʰ-{1},burst,shatter,break into many pieces,English,v,Wordnet
?2.*nebʰ-{1},burst,shatter,cause to break into many pieces,English,v,Wordnet
?2.*nebʰ-{1},burst,shatter,damage or destroy,English,v,Wordnet
?2.*nebʰ-{1},burst,burst,emerge suddenly,English,v,Wordnet
?2.*nebʰ-{1},burst,burst,"move suddenly, energetically, or violently",English,v,Wordnet
2. bʰlei-,blow up,burst,a sudden flurry of activity (often for no obvious reason),English,n,Wordnet
2. bʰlei-,blow up,burst,"come open suddenly and violently, as if from internal pressure",English,v,Wordnet
2. bʰlei-,blow up,burst,break open or apart suddenly and forcefully,English,v,Wordnet
2. bʰlei-,blow up,burst,emerge suddenly,English,v,Wordnet
2. bʰlei-,blow up,burst,"move suddenly, energetically, or violently",English,v,Wordnet
*TerKh₂-{1},leave,let,a serve that strikes the net before falling into the receiver's court; the ball must be served again,English,n,Wordnet
*TerKh₂-{1},leave,leave,permission to do something,English,n,Wordnet
*TerKh₂-{1},leave,leave,the period of time during which you are absent from work or duty,English,n,Wordnet
*TerKh₂-{1},leave,leave,leave unchanged or undisturbed or refrain from taking,English,v,Wordnet
*TerKh₂-{1},leave,leave,be survived by after one's death,English,v,Wordnet
*TerKh₂-{1},leave,let,leave unchanged,English,v,Wordnet
*TerKh₂-{1},leave,leave,"go and leave behind, either intentionally or by neglect or forgetfulness",English,v,Wordnet
*TerKh₂-{1},leave,allow,allow or plan for a certain possibility; concede the truth or validity of something,English,v,Wordnet
*TerKh₂-{1},leave,allow,give or assign a resource to a particular person or cause,English,v,Wordnet
*TerKh₂-{1},leave,let,actively cause something to happen,English,v,Wordnet
*TerKh₂-{1},leave,allow,allow the presence of or allow (an activity) without opposing or prohibiting,English,v,Wordnet
*TerKh₂-{1},leave,leave,go away from a place,English,v,Wordnet
*TerKh₂-{1},leave,depart,leave,English,v,Wordnet
*TerKh₂-{1},leave,roar_off,leave,English,v,Wordnet
*TerKh₂-{1},leave,allow,let have,English,v,Wordnet
*TerKh₂-{1},leave,allow,grant as a discount or in exchange,English,v,Wordnet
*TerKh₂-{1},leave,leave,remove oneself from an association with or participation in,English,v,Wordnet
*TerKh₂-{1},leave,let,make it possible through a specific action or lack of action for something to happen,English,v,Wordnet
*TerKh₂-{1},leave,leave,have as a result or residue,English,v,Wordnet
*TerKh₂-{1},leave,leave,make a possibility or provide opportunity for; permit to be attainable or cause to remain,English,v,Wordnet
*TerKh₂-{1},leave,leave,act or be so as to become in a specified state,English,v,Wordnet
*TerKh₂-{1},leave,leave,have left or have as a remainder,English,v,Wordnet
*leh₁d-{1},leave,let,a serve that strikes the net before falling into the receiver's court; the ball must be served again,English,n,Wordnet
*leh₁d-{1},leave,leave,permission to do something,English,n,Wordnet
*leh₁d-{1},leave,leave,the period of time during which you are absent from work or duty,English,n,Wordnet
*leh₁d-{1},leave,leave,leave unchanged or undisturbed or refrain from taking,English,v,Wordnet
*leh₁d-{1},leave,leave,be survived by after one's death,English,v,Wordnet
*leh₁d-{1},leave,let,leave unchanged,English,v,Wordnet
*leh₁d-{1},leave,leave,"go and leave behind, either intentionally or by neglect or forgetfulness",English,v,Wordnet
*leh₁d-{1},leave,allow,allow or plan for a certain possibility; concede the truth or validity of something,English,v,Wordnet
*leh₁d-{1},leave,allow,give or assign a resource to a particular person or cause,English,v,Wordnet
*leh₁d-{1},leave,let,actively cause something to happen,English,v,Wordnet
*leh₁d-{1},leave,allow,allow the presence of or allow (an activity) without opposing or prohibiting,English,v,Wordnet
*leh₁d-{1},leave,leave,go away from a place,English,v,Wordnet
*leh₁d-{1},leave,depart,leave,English,v,Wordnet
*leh₁d-{1},leave,roar_off,leave,English,v,Wordnet
*leh₁d-{1},leave,allow,let have,English,v,Wordnet
*leh₁d-{1},leave,allow,grant as a discount or in exchange,English,v,Wordnet
*leh₁d-{1},leave,leave,remove oneself from an association with or participation in,English,v,Wordnet
*leh₁d-{1},leave,let,make it possible through a specific action or lack of action for something to happen,English,v,Wordnet
*leh₁d-{1},leave,leave,have as a result or residue,English,v,Wordnet
*leh₁d-{1},leave,leave,make a possibility or provide opportunity for; permit to be attainable or cause to remain,English,v,Wordnet
*leh₁d-{1},leave,leave,act or be so as to become in a specified state,English,v,Wordnet
*leh₁d-{1},leave,leave,have left or have as a remainder,English,v,Wordnet
gleubʰ-,slice,slice,a golf shot that curves to the right for a right-handed golfer,English,n,Wordnet
gleubʰ-,slice,slice,a spatula for spreading paint or ink,English,n,Wordnet
gleubʰ-,slice,slice,a thin flat piece cut off of some object,English,n,Wordnet
gleubʰ-,slice,slice,a share of something,English,n,Wordnet
gleubʰ-,slice,pare,decrease gradually or bit by bit,English,v,Wordnet
gleubʰ-,slice,slice,hit a ball so that it causes a backspin,English,v,Wordnet
gleubʰ-,slice,slice,cut into slices,English,v,Wordnet
gleubʰ-,slice,pare,remove the edges from and cut down to the desired size,English,v,Wordnet
gleubʰ-,slice,slice,hit a ball and put a spin on it so that it travels in a different direction,English,v,Wordnet
gleubʰ-,slice,cleave,"separate or cut with a tool, such as a sharp instrument",English,v,Wordnet
gleubʰ-,slice,cleave,make by cutting into,English,v,Wordnet
(s)nadʰ-,slice,slice,a golf shot that curves to the right for a right-handed golfer,English,n,Wordnet
(s)nadʰ-,slice,slice,a spatula for spreading paint or ink,English,n,Wordnet
(s)nadʰ-,slice,slice,a thin flat piece cut off of some object,English,n,Wordnet
(s)nadʰ-,slice,slice,a share of something,English,n,Wordnet
(s)nadʰ-,slice,slice,hit a ball so that it causes a backspin,English,v,Wordnet
(s)nadʰ-,slice,slice,cut into slices,English,v,Wordnet
(s)nadʰ-,slice,slice,hit a ball and put a spin on it so that it travels in a different direction,English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,activity directed toward making or doing something,English,n,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,a product produced or accomplished through the effort or activity or agency of a person or thing,English,n,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force,English,n,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,arrive at a certain condition through repeated motion,English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,move into or onto,English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,"shape, form, or improve a material",English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,"gratify and charm, usually in order to influence",English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,move in an agitated manner,English,v,Wordnet
"2. u̯erǵ-, u̯reǵ-",work,work,provoke or excite,English,v,Wordnet
